channel1_id,channel2_id
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
V00_S0696_I00000375_P0844A,V00_S0696_I00000375_P0847
